genero,edad,programa,jornada,ocupacion,eps,municipio_direccion,riesgo_%,prioridad,perfil
Masculino,24,36T -  TÉCNICO LABORAL EN AUXILIAR ANÁLISIS Y PROGRAMACIÓN DE SOFTWARE,NOCHE,Sin registro,EPS Sura,Envigado,70.9,ALTA,Perfil 1
Masculino,27,TÉCNICO LABORAL EN DISEÑO GRAFICO,DIURNA,Sin registro,Sin registro,Envigado,70.1,ALTA,Perfil 1
Masculino,28,TÉCNICO LABORAL EN DISEÑO GRAFICO,DIURNA,Sin registro,Sin registro,Envigado,69.7,ALTA,Perfil 2
Masculino,28,21T-TÉCNICO LABORAL EN MANTENIMIENTO DE COMPUTADORES Y REDES LOCALES DE DATOS,NOCHE,Independiente,SISBEN,Envigado,69.7,ALTA,Perfil 3
Masculino,30,TÉCNICO LABORAL EN DISEÑO GRAFICO,DIURNA,Sin registro,Sin registro,Envigado,69.0,ALTA,Perfil 2
Masculino,27,24T-TÉCNICO LABORAL EN MECANICA AUTOMOTRIZ (Estudiantes Antiguos),DIURNA,Sin registro,Sin registro,Medellín,68.7,ALTA,Perfil 1
Masculino,17,04-V Técnico Laboral Auxiliar Análisis de Datos E Inteligencia Artificial (50% Modalidad Distancia),DIURNA,Estudiante superior,EPS Sura,Envigado,68.3,ALTA,Perfil 2
Masculino,20,18T-TÉCNICO LABORAL EN GASTRONOMÍA,DIURNA,Sin registro,Savia Salud,Envigado,67.8,ALTA,Perfil 3
Masculino,23,04-V Técnico Laboral Auxiliar Análisis de Datos E Inteligencia Artificial (50% Modalidad Distancia),NOCHE,Empleado,Sin registro,Envigado,67.5,ALTA,Perfil 1
Masculino,23,EXTENSIÓN - BIOSEGURIDAD,DIURNA,Estudiante superior,Servicio Occidental de Salud S.A. S.O.S  EPS,Envigado,66.4,ALTA,Perfil 1
Masculino,18,MEDIA TECNICA MARKETING DIGITAL,MEDIA TÉCNICA,Sin registro,Sin registro,Envigado,65.9,ALTA,Perfil 2
Masculino,16,MEDIA TÉCNICA TÉCNICO EN MARKETING Y VENTA DE PRODUCTOS Y SERVICIOS,MEDIA TÉCNICA,Estudiante básica,Sin registro,Envigado,64.4,ALTA,Perfil 3
Femenino,37,18T-TÉCNICO LABORAL EN GASTRONOMÍA,DIURNA,Sin registro,Salud Total EPS,Envigado,64.0,ALTA,Perfil 1
Femenino,18,22T-TÉCNICO LABORAL EN MARKETING DIGITAL,NOCHE,Estudiante superior,EPS Sura,Envigado,63.2,ALTA,Perfil 3
