genero,municipio_de_nacimiento,pais,municipio_direccion,barrio_direccion,estrato,estado_civil,eps,zona,nivel_de_formacion,ocupacion,medio_de_transporte,estado,fecha_de_matricula,jornada,programa,periodo,nivel,edad,periodo_era_mt,anio_periodo,semestre_periodo,estrato_imputado,transporte_imputado,anio_matricula,mes_matricula,desercion
Femenino,Medellín,Colombia,Envigado,Las Flores,3,Soltero(a),EPS Sura,Urbana,Básica secundaria,Estudiante básica,A pie,Graduado,2018-02-05 10:00:00,MEDIA TÉCNICA,MEDIA TÉCNICA TECNICO LABORAL AUXILIAR ADMINISTRATIVO CON ENFASIS EN SISTEMAS,2018-2,SEMESTRE 2,20,0,2018,2,0,0,2018.0,2.0,0.0
Femenino,Envigado,Colombia,Envigado,San José,2,Soltero(a),EPS Sura,Urbana,Media,Estudiante superior,Transporte público,Graduado,2016-01-19 10:00:00,NOCHE,10T-TÉCNICO LABORAL EN AUXILIAR ADMINISTRATIVO CON ÉNFASIS EN SISTEMAS (Solo Estudiantes Antiguos),2016-2,SEMESTRE 2,29,0,2016,2,0,0,2016.0,1.0,0.0
Masculino,Bogotá,Colombia,La Mesa,,3,Soltero(a),,Rural,Media,Estudiante superior,Transporte público,Cancelado,2021-02-08 10:00:00,NOCHE,09T-TÉCNICO LABORAL EN AUXILIAR ADMINISTRATIVO,2021-2,SEMESTRE 1,19,0,2021,2,0,0,2021.0,2.0,1.0
Masculino,Envigado,Colombia,Envigado,San José,2,Soltero(a),SISBEN,Urbana,Media,Estudiante superior,Transporte público,Graduado,2020-01-17 10:00:00,DIURNA,01T-TÉCNICO LABORAL AUXILIAR DE TALENTO HUMANO,2021-1,SEMESTRE 2,21,0,2021,1,0,0,2020.0,1.0,0.0
Masculino,Medellín,Colombia,Envigado,El Salado,2,Soltero(a),Nueva Promotora de Salud - Nueva EPS,Urbana,Media,Estudiante superior,Moto,Inactivo,2020-01-27 10:00:00,NOCHE,27T-TÉCNICO LABORAL EN MERCADEO Y VENTAS (Estudiantes Antiguos),2020-1,SEMESTRE 1,20,0,2020,1,0,0,2020.0,1.0,1.0
Masculino,Medellín,Colombia,Sabaneta,La Doctora,2,Soltero(a),EPS Sura,Urbana - rural,Media,Estudiante superior,Transporte público,Inactivo,2019-01-17 10:00:00,DIURNA,26T-TÉCNICO LABORAL EN MECÁNICA DE MOTOS  (Estudiantes Antiguos),2021-2,SEMESTRE 2,24,0,2021,2,0,0,2019.0,1.0,1.0
Femenino,Medellín,Colombia,Medellín,,2,Soltero(a),Suramericana,Urbana - rural,,Estudiante básica,Transporte público,Inactivo,2020-08-07 10:00:00,MEDIA TÉCNICA,MEDIA TÉCNICA - ORIENTACIÓN VOCACIONAL,2020-2,NOVENO,16,1,2020,2,0,0,2020.0,8.0,0.0
Masculino,Medellín,Colombia,Medellín,Aguacatala,3,Soltero(a),,Urbana,Media,Desempleado,Bicicleta,Activo,2022-02-02 10:00:00,DIURNA,25T-TÉCNICO LABORAL EN MECANICA DE MOTOCICLETAS,2022-1,SEMESTRE 1,20,0,2022,1,0,0,2022.0,2.0,0.0
Femenino,,Colombia,Envigado,Barrio Obrero,2,,,,,,Transporte público,Aplazamiento Semestre,2021-01-28 10:00:00,NOCHE,13T-TÉCNICO LABORAL EN AUXILIAR EN SEGURIDAD OCUPACIONAL,2021-1,SEMESTRE 1,23,0,2021,1,0,1,2021.0,1.0,0.0
Femenino,Envigado,Colombia,Envigado,Zona Centro,3,Soltero(a),Salud Total EPS,Urbana,Media,Empleado,Transporte público,Inactivo,2021-02-01 10:00:00,NOCHE,14T-TÉCNICO LABORAL EN CONTABILIDAD,2021-2,SEMESTRE 2,26,0,2021,2,0,0,2021.0,2.0,0.0
