perfil,cluster,desercion
Perfil 3,0,0
Perfil 1,2,0
Perfil 1,2,1
Perfil 1,2,0
Perfil 1,2,1
Perfil 1,2,1
Perfil 3,0,0
Perfil 1,2,0
Perfil 1,2,0
Perfil 1,2,0
Perfil 1,2,1
Perfil 2,1,1
Perfil 2,1,1
Perfil 2,1,1
Perfil 1,2,0
Perfil 1,2,0
Perfil 1,2,1
Perfil 1,2,1
Perfil 1,2,1
Perfil 1,2,0
Perfil 2,1,1
Perfil 3,0,0
Perfil 1,2,0
Perfil 2,1,0
Perfil 3,0,0
Perfil 3,0,0
Perfil 2,1,0
Perfil 1,2,1
Perfil 1,2,1
Perfil 1,2,0
Perfil 3,0,0
Perfil 1,2,1
Perfil 3,0,1
Perfil 1,2,1
Perfil 2,1,0
Perfil 1,2,0
Perfil 1,2,1
Perfil 2,1,0
Perfil 1,2,0
Perfil 1,2,1
Perfil 1,2,0
Perfil 1,2,0
Perfil 3,0,0
Perfil 1,2,1
Perfil 1,2,0
Perfil 2,1,0
Perfil 1,2,1
Perfil 1,2,1
Perfil 1,2,0
Perfil 1,2,1
Perfil 3,0,0
Perfil 1,2,1
Perfil 1,2,1
Perfil 3,0,0
Perfil 1,2,0
Perfil 1,2,0
Perfil 1,2,1
Perfil 1,2,0
Perfil 1,2,1
Perfil 1,2,1
Perfil 3,0,1
Perfil 3,0,0
Perfil 2,1,1
Perfil 1,2,0
Perfil 1,2,1
Perfil 1,2,0
Perfil 2,1,0
Perfil 1,2,1
Perfil 1,2,1
Perfil 3,0,0
Perfil 2,1,1
Perfil 1,2,0
Perfil 1,2,1
Perfil 1,2,0
Perfil 1,2,1
Perfil 1,2,0
Perfil 1,2,0
Perfil 1,2,0
Perfil 2,1,1
Perfil 1,2,0
Perfil 2,1,1
Perfil 1,2,1
Perfil 3,0,0
Perfil 3,0,0
Perfil 1,2,0
Perfil 3,0,0
Perfil 1,2,0
Perfil 2,1,0
Perfil 2,1,1
Perfil 1,2,1
Perfil 2,1,1
Perfil 1,2,1
Perfil 3,0,0
Perfil 2,1,0
Perfil 1,2,0
Perfil 1,2,0
Perfil 1,2,1
Perfil 2,1,0
Perfil 2,1,0
Perfil 2,1,1
Perfil 1,2,1
Perfil 3,0,0
Perfil 2,1,0
Perfil 1,2,1
Perfil 1,2,1
